niveau1,vondstnummer
Food Processing & Consumption,NZC1.00043MA001
Food Processing & Consumption,NZC1.00044MA001
Food Processing & Consumption,NZC1.00045MA001
Food Processing & Consumption,NZC1.00046MA001
Food Processing & Consumption,NZC1.00047MA001
Food Processing & Consumption,NZD1.00004GLS002
Food Processing & Consumption,NZD1.00005CER002
Food Processing & Consumption,NZD1.00005CER003
Personal Artefacts & Clothing,NZD1.00006LEE002
Food Processing & Consumption,NZD1.00007CER002
Interiors & Accessories,NZD1.00007CER006
Food Processing & Consumption,NZD1.00007CER028
Food Processing & Consumption,NZD1.00008CER006
Food Processing & Consumption,NZD1.00008CER009
Food Processing & Consumption,NZD1.00008CER015
Food Processing & Consumption,NZD1.00008CER017
Food Processing & Consumption,NZD1.00008CER019
Food Processing & Consumption,NZD1.00008CER020
Food Processing & Consumption,NZD1.00009CER002
Food Processing & Consumption,NZD1.00009CER009
Food Processing & Consumption,NZD1.00010CER002
Food Processing & Consumption,NZD1.00010CER003
Food Processing & Consumption,NZD1.00010CER005
Food Processing & Consumption,NZD1.00010GLS002
Distribution & Transport,NZD1.00010KST001
Personal Artefacts & Clothing,NZD1.00010LEE001
Food Processing & Consumption,NZD1.00012CER001
Personal Artefacts & Clothing,NZD1.00012HT001
Food Processing & Consumption,NZD1.00013CER001
Food Processing & Consumption,NZD1.00013CER006
Food Processing & Consumption,NZD1.00013CER008
Food Processing & Consumption,NZD1.00013CER010
Craft & Industry,NZD1.00013CER011
Personal Artefacts & Clothing,NZD1.00013LEE002
Personal Artefacts & Clothing,NZD1.00013LEE003
Food Processing & Consumption,NZD1.00014CER001
Food Processing & Consumption,NZD1.00014CER005
Food Processing & Consumption,NZD1.00014CER008
Food Processing & Consumption,NZD1.00014CER011
Interiors & Accessories,NZD1.00014GLS002
Food Processing & Consumption,NZD1.00016CER001
Food Processing & Consumption,NZD1.00016CER002
Food Processing & Consumption,NZD1.00016CER004
Food Processing & Consumption,NZD1.00016CER007
Food Processing & Consumption,NZD1.00016CER013
Food Processing & Consumption,NZD1.00016CER016
Food Processing & Consumption,NZD1.00017CER003
Food Processing & Consumption,NZD1.00017CER010
Food Processing & Consumption,NZD1.00017CER011
Personal Artefacts & Clothing,NZD1.00017CER017
Food Processing & Consumption,NZD1.00017CER019
Food Processing & Consumption,NZD1.00017CER023
Food Processing & Consumption,NZD1.00017CER026
Food Processing & Consumption,NZD1.00017CER031
Food Processing & Consumption,NZD1.00017CER032
Food Processing & Consumption,NZD1.00017CER033
Food Processing & Consumption,NZD1.00017CER034
Personal Artefacts & Clothing,NZD1.00017LEE006
Food Processing & Consumption,NZD1.00018CER001
Food Processing & Consumption,NZD1.00018CER009
Food Processing & Consumption,NZD1.00018CER010
Food Processing & Consumption,NZD1.00018CER011
Food Processing & Consumption,NZD1.00018CER013
Food Processing & Consumption,NZD1.00018CER014
Food Processing & Consumption,NZD1.00019CER001
Food Processing & Consumption,NZD1.00019CER008
Food Processing & Consumption,NZD1.00019CER013
Food Processing & Consumption,NZD1.00019CER016
Distribution & Transport,NZD1.00019CER017
Food Processing & Consumption,NZD1.00019CER019
Food Processing & Consumption,NZD1.00019CER020
Food Processing & Consumption,NZD1.00019CER021
Food Processing & Consumption,NZD1.00019CER022
Personal Artefacts & Clothing,NZD1.00019LEE003
Distribution & Transport,NZD1.00019MTL005
Buildings & Structures,NZD1.00019STN001
Food Processing & Consumption,NZD1.00020CER001
Food Processing & Consumption,NZD1.00020CER009
Food Processing & Consumption,NZD1.00020CER012
Food Processing & Consumption,NZD1.00020CER016
Food Processing & Consumption,NZD1.00020CER019
Food Processing & Consumption,NZD1.00020CER021
Food Processing & Consumption,NZD1.00020CER031
Food Processing & Consumption,NZD1.00020CER033
Food Processing & Consumption,NZD1.00020CER039
Food Processing & Consumption,NZD1.00020CER040
Personal Artefacts & Clothing,NZD1.00020LEE004
Interiors & Accessories,NZD1.00020STN001
Food Processing & Consumption,NZD1.00021CER001
Food Processing & Consumption,NZD1.00021CER006
Food Processing & Consumption,NZD1.00021CER027
Food Processing & Consumption,NZD1.00021CER037
Food Processing & Consumption,NZD1.00021CER039
Food Processing & Consumption,NZD1.00021CER041
Food Processing & Consumption,NZD1.00021CER049
Food Processing & Consumption,NZD1.00021CER050
Food Processing & Consumption,NZD1.00021CER052
Food Processing & Consumption,NZD1.00021CER055
Food Processing & Consumption,NZD1.00021CER057
Food Processing & Consumption,NZD1.00021CER059
Food Processing & Consumption,NZD1.00021CER063
Food Processing & Consumption,NZD1.00021CER067
Food Processing & Consumption,NZD1.00021CER068
Food Processing & Consumption,NZD1.00021CER069
Food Processing & Consumption,NZD1.00021CER072
Food Processing & Consumption,NZD1.00021CER074
Food Processing & Consumption,NZD1.00021CER076
Interiors & Accessories,NZD1.00021HT003
